year,month,day,account_id,amount,created_at
2008,12,24,9,12606,'2020/4/8 12:30'
2000,8,10,1,18191,'2020/4/9 12:30'
2016,12,7,7,15286,'2020/4/10 12:30'
2014,10,7,17,15739,'2020/4/11 12:30'
2012,10,24,4,24509,'2020/4/12 12:30'
2025,4,21,13,3339,'2020/4/13 12:30'
2014,3,8,8,20192,'2020/4/14 12:30'
2018,1,5,18,1381,'2020/4/15 12:30'
2023,10,4,17,21369,'2020/4/16 12:30'
2016,3,21,20,17166,'2020/4/17 12:30'
2021,2,16,19,19819,'2020/4/18 12:30'
2013,3,16,5,5164,'2020/4/19 12:30'
2007,5,17,9,21861,'2020/4/20 12:30'
2004,6,17,9,11521,'2020/4/21 12:30'
2023,7,20,20,4093,'2020/4/22 12:30'
2003,9,19,10,4683,'2020/4/23 12:30'
2017,5,25,19,7083,'2020/4/24 12:30'
2016,12,26,12,22006,'2020/4/25 12:30'
2009,3,7,10,5246,'2020/4/26 12:30'
2021,1,22,7,7411,'2020/4/27 12:30'
2010,8,26,5,16257,'2020/4/28 12:30'
2023,3,24,15,11631,'2020/4/29 12:30'
2022,12,17,3,17133,'2020/4/30 12:30'
2001,10,1,9,20004,'2020/5/1 12:30'
2025,8,12,4,23482,'2020/5/2 12:30'
2005,1,4,3,23741,'2020/5/3 12:30'
2006,12,14,13,11148,'2020/5/4 12:30'
2006,1,1,5,13427,'2020/5/5 12:30'
2018,1,11,13,24408,'2020/5/6 12:30'
2015,7,4,2,8660,'2020/5/7 12:30'
2025,12,8,13,17172,'2020/5/8 12:30'
2004,2,27,18,9088,'2020/5/9 12:30'
2011,6,28,8,8298,'2020/5/10 12:30'
2014,7,19,1,6266,'2020/5/11 12:30'
2012,8,2,3,19399,'2020/5/12 12:30'
2018,7,21,12,14497,'2020/5/13 12:30'
2019,7,6,18,1443,'2020/5/14 12:30'
2014,7,14,1,22799,'2020/5/15 12:30'
2023,4,10,19,5417,'2020/5/16 12:30'
2014,4,26,6,16995,'2020/5/17 12:30'
2012,6,28,7,819,'2020/5/18 12:30'
2024,11,11,6,18010,'2020/5/19 12:30'
2010,2,30,20,4156,'2020/5/20 12:30'
2020,1,2,18,11680,'2020/5/21 12:30'
2022,6,23,16,19427,'2020/5/22 12:30'
2022,9,10,18,14684,'2020/5/23 12:30'
2001,11,7,5,24721,'2020/5/24 12:30'
2020,11,24,15,24964,'2020/5/25 12:30'
2025,8,3,10,11999,'2020/5/26 12:30'
2016,6,4,12,17727,'2020/5/27 12:30'
2001,11,27,4,3040,'2020/5/28 12:30'
2019,9,16,3,12992,'2020/5/29 12:30'
2011,2,22,4,14885,'2020/5/30 12:30'
2000,7,21,4,22750,'2020/5/31 12:30'
2015,12,12,12,3138,'2020/6/1 12:30'
2012,2,30,14,173,'2020/6/2 12:30'
2016,8,10,4,9316,'2020/6/3 12:30'
2012,9,11,4,20192,'2020/6/4 12:30'
2012,5,3,2,16756,'2020/6/5 12:30'
2016,3,27,7,21081,'2020/6/6 12:30'
2020,5,28,1,8264,'2020/6/7 12:30'
2017,7,10,20,2507,'2020/6/8 12:30'
2005,1,13,20,15423,'2020/6/9 12:30'
2012,7,1,14,921,'2020/6/10 12:30'
2013,5,23,11,19401,'2020/6/11 12:30'
2023,4,25,14,7960,'2020/6/12 12:30'
2005,2,13,19,2281,'2020/6/13 12:30'
2012,8,18,14,24934,'2020/6/14 12:30'
2018,6,6,18,4995,'2020/6/15 12:30'
2009,4,13,12,5827,'2020/6/16 12:30'
2025,2,24,5,7733,'2020/6/17 12:30'
2002,7,24,15,23114,'2020/6/18 12:30'
2015,2,26,12,442,'2020/6/19 12:30'
2023,4,15,8,19608,'2020/6/20 12:30'
2018,8,17,15,22073,'2020/6/21 12:30'
2020,11,20,5,2687,'2020/6/22 12:30'
2003,11,22,12,22863,'2020/6/23 12:30'
2007,4,30,16,1457,'2020/6/24 12:30'
2021,8,16,1,18318,'2020/6/25 12:30'
2025,9,30,2,7107,'2020/6/26 12:30'
2004,12,12,16,8689,'2020/6/27 12:30'
2025,11,20,14,15142,'2020/6/28 12:30'
2015,5,5,1,5972,'2020/6/29 12:30'
2008,3,16,3,8370,'2020/6/30 12:30'
2016,10,9,3,22287,'2020/7/1 12:30'
2019,3,15,7,20143,'2020/7/2 12:30'
2006,5,24,17,4572,'2020/7/3 12:30'
2004,3,28,19,3172,'2020/7/4 12:30'
2025,12,4,2,22857,'2020/7/5 12:30'
2007,5,12,20,5219,'2020/7/6 12:30'
2010,8,9,16,21417,'2020/7/7 12:30'
2022,5,19,2,1148,'2020/7/8 12:30'
2022,10,1,18,10299,'2020/7/9 12:30'
2000,7,6,5,12426,'2020/7/10 12:30'
2002,6,11,12,6456,'2020/7/11 12:30'
2025,5,21,11,7600,'2020/7/12 12:30'
2024,8,8,8,5579,'2020/7/13 12:30'
2009,4,27,12,7352,'2020/7/14 12:30'
2000,1,30,14,1237,'2020/7/15 12:30'
2013,4,28,16,9434,'2020/7/16 12:30'
2000,2,11,9,5278,'2020/7/17 12:30'
2010,7,1,10,13468,'2020/7/18 12:30'
2017,9,9,19,11057,'2020/7/19 12:30'
2002,8,20,15,22359,'2020/7/20 12:30'
2019,7,9,8,22677,'2020/7/21 12:30'
2011,3,5,15,1948,'2020/7/22 12:30'
2012,12,7,16,21516,'2020/7/23 12:30'
2010,5,11,16,184,'2020/7/24 12:30'
2025,7,15,14,14065,'2020/7/25 12:30'
2021,5,22,2,11747,'2020/7/26 12:30'
2025,3,20,7,8801,'2020/7/27 12:30'
2003,2,27,17,19244,'2020/7/28 12:30'
2017,3,4,5,22308,'2020/7/29 12:30'
2006,10,3,18,20746,'2020/7/30 12:30'
2016,5,7,14,24001,'2020/7/31 12:30'
2008,8,12,10,8416,'2020/8/1 12:30'
2016,5,10,9,21521,'2020/8/2 12:30'
2014,12,12,5,23885,'2020/8/3 12:30'
2020,1,20,2,8548,'2020/8/4 12:30'
2008,1,3,2,7759,'2020/8/5 12:30'
2003,12,18,18,14468,'2020/8/6 12:30'
2001,10,3,3,2290,'2020/8/7 12:30'
2007,10,11,4,11945,'2020/8/8 12:30'
2023,3,16,13,12328,'2020/8/9 12:30'
2019,3,30,9,2191,'2020/8/10 12:30'
2002,9,11,20,5631,'2020/8/11 12:30'
2003,7,25,7,7946,'2020/8/12 12:30'
2010,3,5,1,3940,'2020/8/13 12:30'
2017,2,16,1,7089,'2020/8/14 12:30'
2003,11,23,12,10656,'2020/8/15 12:30'
2024,5,6,13,23589,'2020/8/16 12:30'
2004,9,17,16,4530,'2020/8/17 12:30'
2015,4,25,12,2659,'2020/8/18 12:30'
2010,2,22,13,8890,'2020/8/19 12:30'
2020,9,18,10,19239,'2020/8/20 12:30'
2005,11,9,9,4825,'2020/8/21 12:30'
2001,6,28,12,14612,'2020/8/22 12:30'
2011,11,14,15,782,'2020/8/23 12:30'
2015,2,24,14,23060,'2020/8/24 12:30'
2018,12,16,9,4618,'2020/8/25 12:30'
2016,10,2,8,3236,'2020/8/26 12:30'
2019,1,19,18,5892,'2020/8/27 12:30'
2010,2,2,2,17375,'2020/8/28 12:30'
2018,12,17,6,23970,'2020/8/29 12:30'
2000,8,5,2,24953,'2020/8/30 12:30'
2004,8,24,7,24876,'2020/8/31 12:30'
2006,5,5,5,7604,'2020/9/1 12:30'
2018,3,29,6,8824,'2020/9/2 12:30'
2025,6,26,1,5023,'2020/9/3 12:30'
2002,7,24,17,1613,'2020/9/4 12:30'
2012,4,30,13,15933,'2020/9/5 12:30'
2024,6,27,5,13899,'2020/9/6 12:30'
2018,7,9,6,5803,'2020/9/7 12:30'
2010,9,23,11,2610,'2020/9/8 12:30'
2019,7,21,4,1132,'2020/9/9 12:30'
2001,9,14,8,7967,'2020/9/10 12:30'
2011,6,25,20,20837,'2020/9/11 12:30'
2013,4,12,16,24941,'2020/9/12 12:30'
2009,6,15,8,6998,'2020/9/13 12:30'
2025,9,27,16,13040,'2020/9/14 12:30'
2015,8,15,14,24054,'2020/9/15 12:30'
2001,9,26,9,21431,'2020/9/16 12:30'
2017,7,9,13,23515,'2020/9/17 12:30'
2022,10,22,4,3395,'2020/9/18 12:30'
2017,6,13,17,6631,'2020/9/19 12:30'
2023,3,18,1,12639,'2020/9/20 12:30'
2012,3,28,18,5834,'2020/9/21 12:30'
2002,9,1,6,10846,'2020/9/22 12:30'
2005,8,20,7,10343,'2020/9/23 12:30'
2004,9,10,17,16054,'2020/9/24 12:30'
2012,3,3,13,20125,'2020/9/25 12:30'
2001,9,1,20,14513,'2020/9/26 12:30'
2022,8,2,5,19059,'2020/9/27 12:30'
2010,10,23,5,5652,'2020/9/28 12:30'
2021,4,10,13,9235,'2020/9/29 12:30'
2004,5,29,20,9301,'2020/9/30 12:30'
2011,11,6,14,21430,'2020/10/1 12:30'
2011,4,19,14,2193,'2020/10/2 12:30'
2006,10,26,18,2651,'2020/10/3 12:30'
2022,6,5,6,23478,'2020/10/4 12:30'
2018,5,5,17,21943,'2020/10/5 12:30'
2013,11,6,17,6797,'2020/10/6 12:30'
2005,9,23,17,18391,'2020/10/7 12:30'
2010,2,5,12,14351,'2020/10/8 12:30'
2009,5,28,7,245,'2020/10/9 12:30'
2008,12,29,5,206,'2020/10/10 12:30'
2003,2,26,11,18868,'2020/10/11 12:30'
2000,12,19,2,21018,'2020/10/12 12:30'
2000,9,30,17,7811,'2020/10/13 12:30'
2017,7,15,7,24329,'2020/10/14 12:30'
2019,1,11,14,20754,'2020/10/15 12:30'
2021,9,24,6,13511,'2020/10/16 12:30'
2022,11,22,13,23332,'2020/10/17 12:30'
2016,1,29,12,9071,'2020/10/18 12:30'
2003,12,14,11,9642,'2020/10/19 12:30'
2021,3,7,4,20974,'2020/10/20 12:30'
2018,9,2,3,20232,'2020/10/21 12:30'
2013,2,6,10,24663,'2020/10/22 12:30'
2000,7,19,17,16936,'2020/10/23 12:30'
2010,4,24,11,5525,'2020/10/24 12:30'
2019,5,1,20,21579,'2020/10/25 12:30'
2021,4,7,3,22708,'2020/10/26 12:30'
2006,12,6,9,19291,'2020/10/27 12:30'
2012,10,12,15,6163,'2020/10/28 12:30'
2018,6,25,14,8085,'2020/10/29 12:30'
2023,2,27,4,14585,'2020/10/30 12:30'
2005,4,20,11,2049,'2020/10/31 12:30'
2023,3,10,9,1528,'2020/11/1 12:30'
2008,7,3,11,14730,'2020/11/2 12:30'
2005,2,17,8,3779,'2020/11/3 12:30'
2016,9,5,12,14437,'2020/11/4 12:30'
2003,12,26,2,23949,'2020/11/5 12:30'
2020,12,21,5,9259,'2020/11/6 12:30'
2017,3,17,14,14767,'2020/11/7 12:30'
2018,8,30,20,22504,'2020/11/8 12:30'
2002,5,7,11,19054,'2020/11/9 12:30'
2024,2,6,10,4380,'2020/11/10 12:30'
2005,12,25,8,23404,'2020/11/11 12:30'
2018,6,25,9,8411,'2020/11/12 12:30'
2016,7,4,9,11953,'2020/11/13 12:30'
2021,1,28,10,1987,'2020/11/14 12:30'
2025,9,14,5,22543,'2020/11/15 12:30'
2004,8,6,9,2650,'2020/11/16 12:30'
2009,2,28,2,19481,'2020/11/17 12:30'
2022,5,28,4,19520,'2020/11/18 12:30'
2020,2,10,1,22283,'2020/11/19 12:30'
2018,11,14,17,22190,'2020/11/20 12:30'
2010,12,19,10,5422,'2020/11/21 12:30'
2008,12,27,7,18510,'2020/11/22 12:30'
2021,5,7,6,12629,'2020/11/23 12:30'
2021,5,23,19,10317,'2020/11/24 12:30'
2012,12,2,16,4413,'2020/11/25 12:30'
2025,3,7,5,1576,'2020/11/26 12:30'
2008,8,14,18,15806,'2020/11/27 12:30'
2000,12,5,15,4771,'2020/11/28 12:30'
2022,2,24,16,16515,'2020/11/29 12:30'
2000,9,27,1,10769,'2020/11/30 12:30'
2011,11,25,5,950,'2020/12/1 12:30'
2025,3,23,6,10887,'2020/12/2 12:30'
2002,9,4,10,9807,'2020/12/3 12:30'
2025,2,13,18,14775,'2020/12/4 12:30'
2014,8,13,16,19026,'2020/12/5 12:30'
2006,10,15,8,11670,'2020/12/6 12:30'
2025,12,22,8,5176,'2020/12/7 12:30'
2013,10,4,6,5616,'2020/12/8 12:30'
2000,5,28,7,3573,'2020/12/9 12:30'
2012,3,7,1,24206,'2020/12/10 12:30'
2001,5,23,18,24091,'2020/12/11 12:30'
2009,2,14,14,2247,'2020/12/12 12:30'
2005,5,26,6,14942,'2020/12/13 12:30'
2017,2,15,12,17511,'2020/12/14 12:30'
2012,8,11,20,21530,'2020/12/15 12:30'
2006,1,29,9,7985,'2020/12/16 12:30'
2002,5,6,7,22409,'2020/12/17 12:30'
2008,11,20,15,20043,'2020/12/18 12:30'
2016,12,19,2,23070,'2020/12/19 12:30'
2008,2,14,5,15368,'2020/12/20 12:30'
2016,3,2,10,5252,'2020/12/21 12:30'
2005,4,9,14,20890,'2020/12/22 12:30'
2000,4,30,6,10124,'2020/12/23 12:30'
2025,7,30,1,22968,'2020/12/24 12:30'
2021,11,3,12,6172,'2020/12/25 12:30'
2007,9,29,7,3130,'2020/12/26 12:30'
2009,3,4,14,10638,'2020/12/27 12:30'
2021,6,1,11,3291,'2020/12/28 12:30'
2010,9,9,20,5145,'2020/12/29 12:30'
2007,6,8,6,7187,'2020/12/30 12:30'
2014,3,11,6,5898,'2020/12/31 12:30'
2004,11,11,4,16435,'2021/1/1 12:30'
2021,2,28,9,22015,'2021/1/2 12:30'
2022,4,11,6,22808,'2021/1/3 12:30'
2023,11,23,18,13411,'2021/1/4 12:30'
2010,3,11,14,24643,'2021/1/5 12:30'
2009,12,26,12,9186,'2021/1/6 12:30'
2005,5,2,14,686,'2021/1/7 12:30'
2020,6,17,8,3248,'2021/1/8 12:30'
2017,11,6,17,23464,'2021/1/9 12:30'
2008,2,2,4,8068,'2021/1/10 12:30'
2013,9,10,8,2784,'2021/1/11 12:30'
2021,3,5,12,12859,'2021/1/12 12:30'
2023,12,14,19,9145,'2021/1/13 12:30'
2016,2,16,4,1319,'2021/1/14 12:30'
2023,4,14,1,13107,'2021/1/15 12:30'
2022,6,3,15,15032,'2021/1/16 12:30'
2008,6,17,11,19860,'2021/1/17 12:30'
2018,9,23,13,1243,'2021/1/18 12:30'
2021,6,7,17,8562,'2021/1/19 12:30'
2000,12,13,17,5958,'2021/1/20 12:30'
2019,7,17,4,12743,'2021/1/21 12:30'
2001,2,24,15,717,'2021/1/22 12:30'
2022,9,11,17,20822,'2021/1/23 12:30'
2024,3,28,10,14308,'2021/1/24 12:30'
2014,10,29,12,12375,'2021/1/25 12:30'
2000,7,3,2,23018,'2021/1/26 12:30'
2013,7,30,17,23538,'2021/1/27 12:30'
2019,10,29,4,17070,'2021/1/28 12:30'
2001,1,3,18,12755,'2021/1/29 12:30'
2024,1,28,7,11455,'2021/1/30 12:30'
2008,2,1,18,1046,'2021/1/31 12:30'
2008,12,8,12,9349,'2021/2/1 12:30'
2010,3,26,13,621,'2021/2/2 12:30'
2007,6,22,6,3243,'2021/2/3 12:30'
2005,3,26,13,13911,'2021/2/4 12:30'
